TouchArea,SmallestInscribedCircleRadius,MeanPairedDistance,MedianPairedDistance,MinPairedDistance,MaxPairedDistance,SDPairedDistance,MeanCentroidVertexDistance,MedianCentroidVertexDistance,MinCentroidVertexDistance,MaxCentroidVertexDistance,MeanCircleCenterVertexDistance,MedianAngleSuccessiveVertices,MinAngleSuccessiveVertices,MaxAngleSuccessiveVertices,class
-4120.5,57.12,98.22,96.34,91.42,106.89,7.91,56.7,58.01,51.48,60.61,57.12,2.06,1.97,2.24,Triangle_5
-3879.0,55.24,95.15,94.2,88.84,102.42,6.84,54.93,55.67,50.6,58.53,55.24,2.08,1.98,2.22,Triangle_5
-8106.5,82.4,139.99,150.21,114.76,155.0,21.98,80.92,75.88,72.6,94.28,82.4,2.23,1.77,2.29,Circle_5
-7922.0,81.84,138.78,151.25,111.99,153.1,23.22,80.25,73.85,72.57,94.34,81.84,2.26,1.74,2.28,Circle_5
-1797.5,37.75,64.9,65.46,59.08,70.18,5.57,37.47,37.33,34.36,40.73,37.75,2.11,1.94,2.23,Triangle_3
-1850.5,37.95,65.55,66.89,61.59,68.18,3.49,37.85,37.13,36.34,40.07,37.95,2.13,1.99,2.16,Triangle_3
-3858.0,55.13,94.93,94.89,87.82,102.08,7.13,54.81,55.04,50.57,58.82,55.13,2.1,1.96,2.22,Triangle_5
-3816.0,55.06,94.65,97.32,84.91,101.71,8.72,54.66,53.37,50.57,60.02,55.06,2.15,1.91,2.22,Triangle_5
-4291.5,58.29,100.23,98.68,93.02,109.0,8.1,57.86,59.0,52.6,61.99,58.29,2.07,1.97,2.24,Rectangle_5
-4432.0,59.35,101.96,101.14,93.54,111.21,8.87,58.86,59.63,53.32,63.64,59.35,2.08,1.95,2.25,Rectangle_5
-3407.0,52.39,89.78,94.58,78.1,96.65,10.16,51.86,49.37,48.02,58.19,52.39,2.19,1.86,2.23,Circle_3
-3522.0,53.5,91.51,97.72,78.31,98.49,11.43,52.87,49.57,49.06,59.97,53.5,2.22,1.83,2.23,Circle_3
-1943.0,39.38,67.56,64.66,63.56,74.46,6.0,39.0,40.81,34.8,41.38,39.38,2.02,1.99,2.27,Triangle_3
-1887.0,38.81,66.59,65.07,61.47,73.24,6.03,38.44,39.51,34.42,41.39,38.81,2.06,1.96,2.26,Triangle_3
-3560.0,57.39,95.55,107.7,69.03,109.93,23.0,55.42,49.55,47.89,68.8,57.39,2.34,1.57,2.37,Square_3
-3726.0,59.39,98.45,112.38,69.26,113.72,25.29,57.15,50.36,49.35,71.74,59.39,2.36,1.54,2.38,Square_3
-5370.0,67.1,113.85,117.88,95.05,128.63,17.15,65.77,64.35,57.07,75.9,67.1,2.17,1.8,2.32,Circle_4
-5371.5,67.2,113.94,117.63,95.05,129.14,17.34,65.82,64.62,56.83,76.01,67.2,2.16,1.79,2.32,Circle_4
-3633.0,54.85,93.43,100.72,77.65,101.92,13.68,54.0,50.21,49.4,62.39,54.85,2.24,1.79,2.26,Circle_3
-3482.0,54.33,92.08,100.57,74.03,101.64,15.64,53.25,48.88,48.14,62.72,54.33,2.26,1.74,2.28,Circle_3
-7597.5,81.79,137.51,151.4,105.48,155.65,27.82,79.6,72.86,69.81,96.13,81.79,2.29,1.66,2.33,Circle_5
-7557.5,81.52,137.12,152.2,105.12,154.03,27.73,79.38,71.79,70.48,95.88,81.52,2.3,1.66,2.32,Circle_5
-4146.0,56.72,98.05,98.98,93.19,101.98,4.47,56.61,56.15,54.33,59.36,56.72,2.11,2.01,2.16,Triangle_5
-4122.0,56.63,97.82,95.19,94.83,103.45,4.88,56.47,58.05,53.13,58.24,56.63,2.05,2.04,2.19,Triangle_5
-8646.5,91.12,150.64,172.17,104.39,175.35,40.08,87.5,77.21,74.78,110.5,91.12,2.37,1.51,2.4,Square_5
-8798.0,91.52,151.53,172.35,106.08,176.16,39.41,87.98,78.08,75.19,110.67,91.52,2.36,1.53,2.4,Square_5
-3186.0,50.16,86.35,89.69,78.06,91.3,7.23,49.86,48.09,47.07,54.44,50.16,2.16,1.92,2.2,Rectangle_4
-3262.0,50.62,87.25,89.55,80.01,92.18,6.41,50.38,49.19,47.55,54.4,50.62,2.14,1.95,2.19,Rectangle_4
-2555.5,44.53,76.98,78.29,73.03,79.61,3.48,44.44,43.73,42.93,46.67,44.53,2.13,2.0,2.15,Rectangle_3
-2558.5,44.56,77.03,78.29,73.03,79.76,3.54,44.47,43.79,42.9,46.72,44.56,2.12,2.0,2.16,Rectangle_3
-5194.5,71.69,117.87,136.97,79.01,137.64,33.66,68.56,59.27,58.75,87.67,71.69,2.4,1.47,2.41,Square_4
-5486.5,72.69,120.09,137.03,83.02,140.22,32.14,69.76,61.76,59.33,88.18,72.69,2.37,1.51,2.41,Square_4
