@relation features_0_cfs_filter

@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute class {Triangle_5,Square_5,Triangle_3,Circle_3,Rectangle_5,Circle_4,Rectangle_4,Circle_5,Triangle_4,Square_3,Square_4,Rectangle_3}

@data
-7074,80.52,134.04,144.94,100,157.18,30.1,77.61,73.34,64.39,95.12,80.52,2.26,1.62,2.4,Circle_5
-2824,50.13,83.45,76.03,74.97,99.36,13.79,48.08,52.92,37.9,53.42,50.13,1.95,1.92,2.41,Square_3
-2695,50.34,82.51,76.03,71.06,100.45,15.73,47.5,52.17,35.85,54.46,50.34,1.97,1.85,2.46,Square_3
-2707,46.84,80.07,79.4,71.61,89.2,8.81,46.22,46.98,40.7,50.99,46.84,2.09,1.91,2.29,Triangle_4
-2599.5,45.58,78.19,77.01,71.56,86.01,7.29,45.14,46.07,40.42,48.91,45.58,2.07,1.95,2.26,Triangle_4
-3855,89.86,115.32,95.71,90.8,159.45,38.3,64.99,80.4,32.29,82.28,89.86,1.83,1.71,2.74,Rectangle_5
-4109,85.95,115.7,95.04,94.11,157.95,36.59,65.47,80.68,34.69,81.04,85.95,1.8,1.78,2.71,Rectangle_5
-6263,78.23,126.76,112.79,111.09,156.42,25.69,72.89,82.25,53.39,83.02,78.23,1.91,1.89,2.48,Square_5
-6090,77.66,125.36,112.09,108.67,155.31,26,72.06,81.17,52.31,82.7,77.66,1.92,1.87,2.49,Square_5
-3041,50.33,85.39,83.22,75.43,97.53,11.21,49.27,51.07,41.79,54.96,50.33,2.06,1.89,2.33,Circle_3
-3096,50.76,86.18,85.49,74.97,98.09,11.58,49.74,50.74,42.47,56.02,50.76,2.09,1.86,2.33,Circle_3
-2040.5,51.48,77.05,73.68,56.44,101.04,22.49,44.17,48.72,27.92,55.87,51.48,2.08,1.58,2.62,Rectangle_3
-2030,50.88,76.45,71.78,57.56,100,21.6,43.79,48.85,27.75,54.77,50.88,2.04,1.63,2.61,Rectangle_3
-2867,49.25,83.27,82.86,71.18,95.77,12.3,48.06,49,40.4,54.78,49.25,2.1,1.83,2.35,Circle_3
-2795,49.32,82.9,85.44,67.12,96.15,14.68,47.89,47.38,39.95,56.36,49.32,2.17,1.75,2.37,Circle_3
-2260,75.87,91.53,75.64,70.71,128.23,31.88,51.31,64.26,23.57,66.1,75.87,1.83,1.67,2.78,Rectangle_4
-2543,71.86,93.14,78.03,72.92,128.47,30.71,52.54,64.6,26.47,66.56,71.86,1.85,1.7,2.74,Rectangle_4
-3096,50.96,86.51,91.08,71.4,97.05,13.42,49.99,48,43.93,58.05,50.96,2.2,1.78,2.31,Circle_3
-3117.5,51,86.67,90.76,72.2,97.05,12.92,50.08,48.33,44.07,57.83,51,2.19,1.79,2.3,Circle_3
-2502.5,71.99,93.02,83.02,67.54,128.5,31.69,52.59,62.59,26.66,68.52,71.99,1.99,1.55,2.74,Rectangle_4
-2602.5,70.27,93.22,82.15,69.64,127.86,30.65,52.77,62.94,27.59,67.78,70.27,1.95,1.61,2.72,Rectangle_4
-1795,53.62,75.34,71.18,53.24,101.61,24.45,42.99,48.59,24.67,55.72,53.62,2.09,1.51,2.68,Rectangle_3
-1779,52.92,74.58,68.88,54.45,100.4,23.5,42.5,48.7,24.35,54.45,52.92,2.03,1.57,2.68,Rectangle_3
-6660,81.67,133.14,144.1,93.06,162.25,35.87,77.18,73.94,60.12,97.48,81.67,2.28,1.52,2.48,Circle_5
-6432,81.51,131.78,141.76,91.01,162.56,36.81,76.38,74.03,58.05,97.05,81.51,2.28,1.5,2.5,Circle_5
-7522.5,80.78,135.47,127.06,120.21,159.14,20.78,78.1,83.93,63.13,87.24,80.78,2,1.9,2.39,Square_5
-7384,80.33,134.53,130,115.31,158.27,21.83,77.58,81.51,62.67,88.57,80.33,2.05,1.84,2.39,Square_5
-5081,65.03,110.32,105,99.69,126.25,14.06,63.64,67.27,53.74,69.92,65.03,2.02,1.93,2.34,Square_4
-4937,64.78,109.32,106.17,95.19,126.59,15.94,63.07,65.74,52.32,71.13,64.78,2.06,1.87,2.36,Square_4
-2189,52.59,79.14,73.06,60.96,103.39,21.86,45.3,51.07,28.71,56.11,52.59,2.01,1.67,2.61,Rectangle_3
-2167,51.52,78.16,70.66,62.2,101.61,20.74,44.73,50.98,28.67,54.53,51.52,1.96,1.72,2.6,Rectangle_3
-4591,64.11,106.6,101.14,91.61,127.06,18.35,61.44,65.7,48.42,70.2,64.11,2.02,1.85,2.42,Square_4
-4517,63.22,105.46,99.7,91.61,125.06,17.45,60.79,65.09,48.33,68.94,63.22,2.01,1.86,2.41,Square_4
-4402.5,80.39,115.32,100.09,91.83,154.03,33.78,65.65,77.67,38.26,81,80.39,1.9,1.73,2.66,Rectangle_5
-4616,81.06,117.42,103.25,92.8,156.2,33.99,66.91,78.43,39.64,82.67,81.06,1.92,1.71,2.65,Rectangle_5
-1672,37.28,63.3,62.23,55.57,72.11,8.32,36.53,37.57,31.13,40.9,37.28,2.08,1.88,2.33,Triangle_3
-1685,38.19,64.1,60.83,56.3,75.17,9.85,36.96,39.36,29.98,41.54,38.19,2.02,1.88,2.38,Triangle_3
-1731.5,37.04,63.69,63.41,58.52,69.12,5.31,36.77,37.1,33.52,39.68,37.04,2.09,1.95,2.24,Triangle_3
-1601,35.19,60.88,61.13,58.69,62.8,2.07,35.15,35.03,34.03,36.39,35.19,2.1,2.03,2.15,Triangle_3
-2566,49.08,81.31,88.73,59.06,96.13,19.62,47.12,44.2,38.7,58.44,49.08,2.28,1.58,2.42,Circle_3
-2697,49.35,82.36,87.68,62.97,96.42,17.35,47.65,45.75,39.45,57.74,49.35,2.23,1.66,2.39,Circle_3
-5221.5,65.87,111.81,108.06,99.74,127.63,14.32,64.51,67.33,54.73,71.48,65.87,2.04,1.91,2.33,Square_4
-5233,66.16,112.1,107.87,99.81,128.63,14.87,64.68,67.81,54.42,71.8,66.16,2.04,1.9,2.34,Square_4
-2476,45.14,76.83,74.65,68.82,87.02,9.3,44.34,46,38.07,48.94,45.14,2.05,1.91,2.32,Triangle_4
-2415,45.16,76.35,74.41,66.61,88.02,10.84,44.05,45.74,36.82,49.59,45.16,2.06,1.87,2.35,Triangle_4
-3660,53.69,92.48,94.87,84.38,98.18,7.21,53.4,52.2,50.11,57.89,53.69,2.14,1.94,2.2,Triangle_5
-3557,53.24,91.45,94.3,81.54,98.51,8.84,52.81,51.44,48.74,58.26,53.24,2.15,1.9,2.23,Triangle_5
-2029,53.59,78.16,74.2,56.46,103.82,23.92,44.72,49.92,27.1,57.14,53.59,2.08,1.56,2.65,Rectangle_3
-1836,51.83,75.19,74.09,51.24,100.24,24.52,43.14,46.97,26.21,56.22,51.83,2.16,1.46,2.66,Rectangle_3
-1575.5,36.06,61.4,62.68,52.63,68.88,8.2,35.46,35.12,31.01,40.25,36.06,2.14,1.84,2.3,Triangle_3
-1568,35.98,61.2,60.22,54.04,69.35,7.71,35.32,36.26,30.34,39.37,35.98,2.08,1.89,2.32,Triangle_3
-4956,65.21,110.08,115.45,89.02,125.78,18.96,63.63,61.61,54.45,74.81,65.21,2.2,1.75,2.34,Circle_4
-4980,65.68,110.58,115.13,89.14,127.48,19.57,63.91,62.48,53.91,75.33,65.68,2.18,1.74,2.36,Circle_4
-6288,78.42,128.54,138.8,91.48,155.33,33.14,74.48,71.28,58.82,93.34,78.42,2.27,1.55,2.46,Circle_5
-6307,78.09,128.3,137.88,92.44,154.56,32.15,74.31,71.38,58.9,92.65,78.09,2.26,1.57,2.45,Circle_5
-5048,81.52,120.84,103.32,100.18,159.01,33.1,68.97,81.63,42.35,82.92,81.52,1.86,1.8,2.62,Rectangle_5
-4909,81.36,119.72,101.6,99.46,158.09,33.25,68.28,81.27,41.41,82.15,81.36,1.85,1.81,2.63,Rectangle_5
-3583.5,52.79,91.21,92.66,85.96,95.01,4.69,52.66,51.9,50.47,55.61,52.79,2.12,1.99,2.17,Triangle_5
-3606.5,52.9,91.44,92.36,86.95,95.02,4.11,52.8,52.33,50.72,55.33,52.9,2.11,2.01,2.16,Triangle_5
-3121.5,66.38,96.39,84.6,76.49,128.1,27.75,54.94,64.43,32.67,67.73,66.38,1.92,1.72,2.64,Rectangle_4
-3256.5,66.44,97.61,83.41,80.43,129,27.23,55.67,66.05,33.68,67.27,66.44,1.86,1.79,2.63,Rectangle_4
-3483.5,52.85,90.56,87.24,84.17,100.28,8.56,52.27,54.44,46.35,56.02,52.85,2.03,1.97,2.28,Triangle_5
