TouchArea,SmallestInscribedCircleRadius,MeanPairedDistance,MedianPairedDistance,MinPairedDistance,MaxPairedDistance,SDPairedDistance,MeanCentroidVertexDistance,MedianCentroidVertexDistance,MinCentroidVertexDistance,MaxCentroidVertexDistance,MeanCircleCenterVertexDistance,MedianAngleSuccessiveVertices,MinAngleSuccessiveVertices,MaxAngleSuccessiveVertices,class
-3852.0,63.5,103.37,122.26,65.31,122.54,32.96,60.29,51.22,51.0,78.64,63.5,2.45,1.39,2.45,Triangle_4
-5696.0,69.74,117.48,111.43,104.31,136.7,17.03,67.75,72.05,55.68,75.52,69.74,2.01,1.9,2.37,Square_4
-2536.5,50.83,83.13,96.88,54.08,98.43,25.17,48.42,41.96,40.73,62.56,50.83,2.42,1.43,2.44,Triangle_3
-3564.0,54.0,92.02,86.45,85.62,104.0,10.38,53.1,56.59,45.69,57.01,54.0,1.99,1.98,2.31,Square_3
-8115.5,82.9,139.94,130.39,127.25,162.19,19.33,80.7,86.92,66.74,88.46,82.9,1.98,1.94,2.36,Square_5
-3241.5,76.99,114.05,143.22,45.4,153.53,59.68,68.41,58.45,48.96,97.81,76.99,2.67,0.86,2.75,Triangle_5
-3423.0,53.73,91.11,96.77,74.41,102.16,14.71,52.67,50.09,46.39,61.52,53.73,2.21,1.76,2.31,Rectangle_4
-8492.0,83.52,142.18,134.08,131.24,161.23,16.55,82.03,87.21,70.25,88.64,83.52,2.0,1.96,2.32,Square_5
-7546.0,82.23,136.77,131.91,115.52,162.87,24.05,78.85,83.23,62.33,90.99,82.23,2.05,1.82,2.42,Circle_5
-3207.0,49.95,86.3,87.32,81.32,90.25,4.55,49.82,49.32,47.53,52.63,49.95,2.12,1.99,2.17,Rectangle_4
-3757.5,53.82,93.18,92.66,91.81,95.08,1.7,53.8,54.11,52.69,54.59,53.82,2.08,2.07,2.13,Rectangle_5
-3708.0,55.52,94.37,96.75,80.05,106.32,13.3,54.51,53.81,47.41,62.29,55.52,2.15,1.82,2.31,Circle_3
-3481.5,53.88,91.35,86.82,82.54,104.69,11.75,52.7,55.79,44.4,57.91,53.88,2.02,1.93,2.34,Square_3
-2147.0,51.18,80.22,91.22,47.07,102.36,29.24,46.85,43.54,34.31,62.7,51.18,2.41,1.28,2.59,Triangle_3
-2296.5,51.36,82.03,95.86,48.27,101.97,29.4,47.99,42.51,37.48,63.98,51.36,2.45,1.29,2.54,Triangle_3
-2135.0,41.24,70.82,70.72,64.4,77.32,6.46,40.88,41.16,37.0,44.49,41.24,2.1,1.93,2.25,Rectangle_3
-5438.0,67.49,114.27,106.3,105.02,131.5,14.93,65.91,70.98,55.14,71.61,67.49,1.98,1.96,2.35,Square_4
-7185.0,83.89,136.24,132.61,108.47,167.63,29.75,78.48,83.1,58.31,94.05,83.89,2.08,1.72,2.48,Circle_5
-4197.0,75.62,117.89,145.15,58.18,150.33,51.77,69.75,58.6,54.07,96.58,75.62,2.58,1.08,2.62,Triangle_5
-4805.0,64.03,108.37,118.53,86.37,120.21,19.07,62.68,57.51,56.34,74.19,64.03,2.27,1.72,2.29,Rectangle_5
-5125.0,67.32,112.43,110.07,94.37,132.85,19.35,64.85,67.49,52.06,75.0,67.32,2.08,1.81,2.4,Circle_4
