@relation features_1_cfs_filter

@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute class {Circle_4,Rectangle_5,Circle_5,Triangle_4,Triangle_5,Circle_3,Square_5,Square_4,Square_3,Triangle_3,Rectangle_3,Rectangle_4}

@data
-4350,63.88,105.59,111.8,78.82,126.14,24.27,61.09,59.39,48.89,74.99,63.88,2.23,1.62,2.43,Circle_4
-3656,88.2,112.73,96.38,85.76,156.05,37.89,63.55,77.55,31.51,81.6,88.2,1.9,1.64,2.75,Rectangle_5
-3864,85.82,113.84,102.4,82.93,156.2,37.96,64.51,76.06,33.87,83.59,85.82,2,1.56,2.72,Rectangle_5
-1586.5,36.03,61.52,65.25,52.2,67.12,8.13,35.55,33.67,32.42,40.55,36.03,2.21,1.82,2.26,Triangle_3
-1552,35.52,60.75,64.5,52.01,65.73,7.59,35.1,33.15,32.33,39.8,35.52,2.21,1.84,2.24,Triangle_3
-3334,51.22,88.21,85.88,83.49,95.26,6.22,50.92,52.4,46.69,53.68,51.22,2.05,2,2.23,Triangle_5
-3413,51.64,89.1,87.24,85.05,95.02,5.24,51.44,52.61,47.91,53.79,51.64,2.06,2.02,2.21,Triangle_5
-4340,64.4,105.34,103.25,84.29,128.47,22.16,60.72,63.74,45.98,72.44,64.4,2.09,1.73,2.46,Square_4
-4413,64.86,106.11,103.25,85.7,129.39,21.98,61.15,64.56,46.27,72.62,64.86,2.07,1.75,2.46,Square_4
-4373,63.74,105.5,110.28,80.28,125.94,23.2,61,60.05,48.71,74.23,63.74,2.2,1.65,2.43,Circle_4
-4603,64.84,107.64,110.45,84.39,128.08,21.98,62.18,62.23,49.71,74.6,64.84,2.17,1.7,2.42,Circle_4
-2495,48.93,80.91,93.3,56.04,93.41,21.55,47,40.86,40.78,59.37,48.93,2.38,1.51,2.39,Circle_3
-2498,49.63,81.66,94.92,54.92,95.13,23.16,47.49,40.99,40.83,60.65,49.63,2.4,1.47,2.41,Circle_3
-3031.5,55.57,89.02,81.84,74.09,111.13,19.53,51.16,56.75,36.55,60.19,55.57,1.98,1.8,2.51,Triangle_5
-2959,54.9,87.89,77.82,76.06,109.79,18.98,50.49,57.37,35.95,58.15,54.9,1.91,1.87,2.51,Triangle_5
-1735.5,57.18,76.48,72.06,52.55,104.81,26.41,43.5,49.78,23.39,57.34,57.18,2.1,1.46,2.72,Rectangle_3
-1676.5,55.98,75.49,74.06,49.04,103.35,27.18,43.14,47.95,23.8,57.67,55.98,2.19,1.37,2.73,Rectangle_3
-4243.5,65.16,106.25,115.11,74.25,129.4,28.62,61.6,58.94,48.05,77.8,65.16,2.28,1.52,2.48,Circle_4
-4233,65.02,105.99,114.02,74.71,129.25,28.14,61.41,59.23,47.68,77.34,65.02,2.27,1.54,2.48,Circle_4
-1458,33.81,58.29,57.31,55.04,62.51,3.83,33.65,34.3,31.13,35.52,33.81,2.07,2,2.22,Triangle_3
-1441.5,33.61,57.96,59.48,53.41,61,4.01,33.47,32.68,31.73,36,33.61,2.14,1.96,2.19,Triangle_3
-6480.5,78.99,130.27,144.53,91.55,154.74,33.92,75.59,69.73,62,95.04,78.99,2.32,1.53,2.43,Circle_5
-6471,79.95,131.18,146.49,89.87,157.18,36.17,76.18,70,61.8,96.75,79.95,2.34,1.5,2.45,Circle_5
-5983,79.49,128.8,146.7,82.49,157.2,40.44,75.02,67.92,59.57,97.56,79.49,2.39,1.4,2.5,Circle_5
-5977.5,79.33,128.73,147.63,82.15,156.4,40.57,75,67.19,60.21,97.62,79.33,2.4,1.4,2.49,Circle_5
-2055.5,45.78,73.37,68.88,59.68,91.55,16.4,42.19,46.12,30.25,50.21,45.78,2.02,1.76,2.51,Triangle_4
-2107,47.11,74.91,72.01,58.55,94.18,17.99,43.09,46.44,30.47,52.37,47.11,2.07,1.69,2.53,Triangle_4
-3767.5,90.03,114.56,94.63,90.34,158.71,38.3,64.51,80.1,31.69,81.73,90.03,1.82,1.72,2.75,Rectangle_5
-3832,90.57,115.63,100.44,86.31,160.13,39.18,65.22,78.95,32.38,84.33,90.57,1.93,1.6,2.75,Rectangle_5
-2915,51.37,85.53,88.62,66.84,101.12,17.35,49.42,48.91,40.02,59.34,51.37,2.18,1.69,2.41,Circle_3
-2949,51.83,86.25,90.91,66.07,101.79,18.31,49.88,48.52,40.68,60.45,51.83,2.22,1.66,2.41,Circle_3
-3046,50.69,85.67,80.81,77.2,99.01,11.69,49.41,52.7,41.07,54.47,50.69,2,1.92,2.36,Square_3
-2949,50.4,84.67,78.41,76.49,99.13,12.55,48.82,52.92,39.68,53.85,50.4,1.97,1.93,2.38,Square_3
-6961,79.53,132.13,134.38,104.86,157.16,26.22,76.3,76.98,60.93,90.99,79.53,2.15,1.72,2.42,Square_5
-6725.5,79.17,130.63,132.32,102.42,157.16,27.41,75.41,76.64,58.97,90.63,79.17,2.15,1.7,2.44,Square_5
-2910.5,50.65,84.56,78.77,74.73,100.17,13.67,48.73,52.74,38.8,54.66,50.65,1.99,1.89,2.4,Square_3
-2884,50.59,84.28,77.03,75.6,100.22,13.82,48.56,53.32,38.37,54,50.59,1.95,1.92,2.41,Square_3
-2773,50.71,83.48,78.49,70.94,101.02,15.65,48.08,51.98,36.79,55.48,50.71,2.01,1.83,2.45,Square_3
