Participant	FingersCount	TouchArea	SmallestInscribedCircleRadius	MeanPairedDistance	MedianPairedDistance	MinPairedDistance	MaxPairedDistance	SDPairedDistance	MeanCentroidVertexDistance	MedianCentroidVertexDistance	MinCentroidVertexDistance	MaxCentroidVertexDistance	SDCentroidVertexDistance	MeanCircleCenterVertexDistance	MedianCircleCenterVertexDistance	MinCircleCenterVertexDistance	MaxCircleCenterVertexDistance	SDCircleCenterVertexDistance	MeanAngleSuccessiveVertices	MedianAngleSuccessiveVertices	MinAngleSuccessiveVertices	MaxAngleSuccessiveVertices	SDAngleSuccessiveVertices	class
0	3	-2976.5	50.85	85.37	84.77	71.59	99.76	14.1	49.27	50.52	40.37	56.91	8.34	50.85	50.85	50.85	50.85	0	2.09	2.1	1.8	2.38	0.29	Square_3
0	3	-3007.5	50.97	85.75	86.31	71.31	99.62	14.17	49.5	50.08	41.02	57.41	8.21	50.97	50.97	50.97	50.97	0	2.09	2.12	1.79	2.37	0.29	Square_3
0	3	-3792	54.41	93.91	94.76	87.93	99.04	5.6	54.22	53.85	51.22	57.58	3.2	54.41	54.41	54.41	54.41	0	2.09	2.11	1.98	2.19	0.1	Triangle_5
0	3	-3654.5	53.29	92.09	93.26	87.09	95.9	4.52	53.17	52.56	50.96	55.98	2.57	53.29	53.29	53.29	53.29	0	2.09	2.12	2	2.17	0.09	Triangle_5
0	3	-6419.5	81.79	130.13	118.46	108.45	163.48	29.31	74.74	83.63	52.56	88.04	19.33	81.79	81.79	81.79	81.79	0	2.09	1.96	1.8	2.52	0.38	Square_5
0	3	-6589	82.38	131.56	121.2	108.76	164.71	29.38	75.6	83.82	53.65	89.33	19.2	82.38	82.38	82.38	82.38	0	2.09	1.98	1.79	2.51	0.38	Square_5
0	3	-2997.5	66.72	95.74	89.05	70.18	128	29.49	54.65	62.08	32.19	69.69	19.82	66.72	66.72	66.72	66.72	0	2.09	2.04	1.58	2.66	0.54	Rectangle_4
0	3	-3199.5	68.09	98.19	88.12	75.54	130.91	29.03	55.97	64.91	33.01	70	20.05	68.09	68.09	68.09	68.09	0	2.09	1.97	1.67	2.65	0.51	Rectangle_4
0	3	-7065.5	81.52	134.52	140.73	101.43	161.4	30.46	77.78	76.65	61.59	95.11	16.79	81.52	81.52	81.52	81.52	0	2.09	2.21	1.64	2.44	0.41	Circle_5
0	3	-7048	80.69	133.7	139.09	102.61	159.4	28.77	77.28	76.4	61.77	93.68	15.97	80.69	80.69	80.69	80.69	0	2.09	2.19	1.66	2.43	0.39	Circle_5
0	3	-1617	37.49	63.2	69.57	49.2	70.83	12.14	36.58	33.39	32.5	43.83	6.3	37.49	37.49	37.49	37.49	0	2.09	2.28	1.69	2.31	0.35	Triangle_3
0	3	-1689	38.01	64.3	70.33	51.09	71.47	11.45	37.19	34.14	33.34	44.09	5.99	38.01	38.01	38.01	38.01	0	2.09	2.27	1.72	2.3	0.33	Triangle_3
0	3	-1573.5	35.88	61.28	65.8	51.86	66.19	8.17	35.41	33.02	32.76	40.46	4.37	35.88	35.88	35.88	35.88	0	2.09	2.23	1.82	2.24	0.24	Triangle_3
0	3	-1510	35.42	60.28	64.35	50	66.49	8.97	34.84	32.83	31.38	40.31	4.79	35.42	35.42	35.42	35.42	0	2.09	2.22	1.78	2.28	0.27	Triangle_3
