@relation whatever

@attribute Participant numeric
@attribute FingersCount numeric
@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute SDCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianCircleCenterVertexDistance numeric
@attribute MinCircleCenterVertexDistance numeric
@attribute MaxCircleCenterVertexDistance numeric
@attribute SDCircleCenterVertexDistance numeric
@attribute MeanAngleSuccessiveVertices numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute SDAngleSuccessiveVertices numeric
@attribute class {Circle_4, Rectangle_5, Circle_5, Triangle_4, Triangle_5, Circle_3, Square_5, Square_4, Square_3, Triangle_3, Rectangle_3, Rectangle_4}

@data
1, 3, -4955.5, 78.76, 120.95, 128.75, 77.37, 156.73, 40.25, 70.07, 70.34, 47.8, 92.07, 22.14, 78.76, 78.76, 78.76, 78.76, 0, 2.09, 2.29, 1.38, 2.61, 0.63, Square_5
1, 3, -2481.5, 49.82, 81.39, 89.59, 55.97, 98.62, 22.47, 47.24, 44.33, 37.41, 59.97, 11.56, 49.82, 49.82, 49.82, 49.82, 0, 2.09, 2.31, 1.5, 2.47, 0.52, Circle_3
1, 3, -2327.5, 48.27, 79.05, 89.19, 53.15, 94.81, 22.6, 45.95, 41.73, 37.37, 58.75, 11.3, 48.27, 48.27, 48.27, 48.27, 0, 2.09, 2.36, 1.47, 2.46, 0.54, Circle_3
1, 3, -3863, 88.19, 114.66, 97.42, 88.51, 158.05, 37.84, 64.72, 78.98, 32.78, 82.4, 27.72, 88.19, 88.19, 88.19, 88.19, 0, 2.09, 1.88, 1.67, 2.73, 0.56, Rectangle_5
1, 3, -3626, 90.85, 113.63, 95.88, 86.95, 158.05, 38.73, 63.92, 78.8, 30.78, 82.18, 28.75, 90.85, 90.85, 90.85, 90.85, 0, 2.09, 1.87, 1.65, 2.76, 0.59, Rectangle_5
1, 3, -2506, 73.72, 93.57, 77.47, 73.54, 129.71, 31.36, 52.68, 65.37, 25.8, 66.87, 23.29, 73.72, 73.72, 73.72, 73.72, 0, 2.09, 1.82, 1.71, 2.75, 0.57, Rectangle_4
1, 3, -2347, 73.4, 91.53, 76.55, 70.66, 127.39, 31.19, 51.47, 63.76, 24.67, 65.98, 23.24, 73.4, 73.4, 73.4, 73.4, 0, 2.09, 1.85, 1.67, 2.76, 0.58, Rectangle_4
1, 3, -2236, 70.88, 89.21, 78.59, 65.07, 123.98, 30.86, 50.3, 60.58, 24.61, 65.71, 22.4, 70.88, 70.88, 70.88, 70.88, 0, 2.09, 1.97, 1.56, 2.76, 0.61, Rectangle_4
1, 3, -2299.5, 72.57, 90.82, 80.28, 65.8, 126.37, 31.63, 51.19, 61.6, 24.9, 67.08, 22.94, 72.57, 72.57, 72.57, 72.57, 0, 2.09, 1.98, 1.54, 2.76, 0.62, Rectangle_4
1, 3, -3840.5, 89.58, 115.5, 103.81, 83.02, 159.66, 39.63, 65.31, 77.45, 33.08, 85.4, 28.19, 89.58, 89.58, 89.58, 89.58, 0, 2.09, 2.01, 1.53, 2.74, 0.61, Rectangle_5
